Friedrich	O
Spielhagen	O
Zum	O
Zeitvertreib	O
Erstes	O
Kapitel	O
Jetzt	O
nur	O
noch	O
die	O
Speisekammer	ORT
	O
rief	RELATIONALES VERB
Adele	O
	O
von	RELATION
der	O
Küche	ORT
aus	RELATION
eine	O
schmale	RAUMBESCHREIBUNG
	O
niedrige	RAUMBESCHREIBUNG
Thür	RAUMTHEMA
nach	RELATION
einem	O
winzigen	RAUMBESCHREIBUNG
Gelaß	RAUMHINWEIS
öffnend	RELATIONALES VERB
	O
das	O
durch	O
ein	O
viereckiges	RAUMBESCHREIBUNG
	O
vergittertes	RAUMTHEMA
Fensterchen	RAUMTHEMA
spärlich	O
erhellt	O
wurde	O
.	O
Bewunderungswürdig	O
	O
sagte	O
Klotilde	O
mit	O
einem	O
gelangweilten	O
Blick	RAUMHINWEIS
über	RELATION
die	O
Schulter	RAUMHINWEIS
der	O
Freundin	O
.	O
Nicht	O
WAHR	O
?	O
erwiderte	O
Adele	O
	O
sich	O
so	O
schnell	O
wendend	RELATIONALES VERB
	O
daß	O
Klotilde	O
eben	O
nur	O
noch	O
ihr	O
Gähnen	O
verbergen	RELATIONALES VERB
konnte	O
.	O
Zwölf	O
Fuß	RAUMHINWEIS
im	RELATION
Quadrat	RAUMHINWEIS
--	O
nicht	O
mehr	O
--	O
Elimar	O
hat	O
es	O
ausgemessen	RELATIONALES VERB
.	O
Und	O
alles	O
darin	RELATION
untergebracht	RELATIONALES VERB
--	O
selbst	O
die	O
zwanzig	O
Einmachebüchsen	RAUMHINWEIS
	O
die	O
mir	O
die	O
gute	O
Mama	O
gestern	O
geschickt	RELATIONALES VERB
hat	O
!	O
Aber	O
Eure	O
Berliner	RAUMBESCHREIBUNG
Baumeister	O
habe	O
ich	O
doch	O
auf	RAUMMETAPHER
dem	RAUMMETAPHER
Strich	RAUMMETAPHER
.	O
Alles	O
für	O
den	O
äußeren	RELATION
Schein	O
:	O
Keine	O
Spur	RAUMHINWEIS
von	O
einem	O
Verständnis	O
für	O
das	O
	O
was	O
eine	O
Hausfrau	O
braucht	O
.	O
Na	O
!	O
nun	O
wollen	O
wir	O
wieder	O
nach	RELATION
vorn	RELATION
gehen	RELATIONALES VERB
.	O
Das	O
heißt	O
	O
erst	O
mußt	O
Du	O
mein	O
Kleid	O
für	O
heute	O
abend	O
sehen	RELATIONALES VERB
.	O
Bei	O
der	O
Gelegenheit	O
kann	O
ich	O
Dir	O
gleich	O
auch	O
noch	O
unser	O
Schlafzimmer	ORT
zeigen	RELATIONALES VERB
.	O
Elimar	O
mag	O
das	O
zwar	O
nicht	O
.	O
Er	O
findet	O
es	O
undelikat	O
.	O
Ich	O
weiß	O
nicht	O
	O
warum	O
.	O
Dabei	O
ist	O
doch	O
nichts	O
Schlimmes	O
.	O
Meinst	O
Du	O
nicht	O
auch	O
?	O
Gewiß	O
nicht	O
	O
sagte	O
Klotilde	O
	O
honni	O
soit	O
qui	O
mal	O
y	O
pense	O
.	O
Nicht	O
WAHR	O
?	O
Besonders	O
wenn	O
wir	O
Frauen	O
unter	RELATION
uns	RAUMHINWEIS
sind	O
.	O
Und	O
nun	O
gar	O
wir	O
beide	O
!	O
Lieber	O
Gott	O
	O
wir	O
haben	O
doch	O
keine	O
Geheimnisse	O
vor	RELATION
einander	RELATION
!	O
Ach	O
	O
Klotilde	O
	O
wenn	O
ich	O
Dich	O
nicht	O
hier	ORT
hätte	O
in	RELATION
diesem	O
gräßlichen	O
Berlin	ORT
!	O
Freust	O
Du	O
Dich	O
nicht	O
auch	O
	O
daß	O
wir	O
nun	O
wieder	O
beisammen	RELATION
sind	O
?	O
Ob	O
ich	O
mich	O
freue	O
!	O
Also	O
das	O
ist	O
Euer	O
Schlafzimmer	ORT
?	O
Das	O
ist	O
unser	O
Schlafzimmer	ORT
!	O
Klein	RAUMBESCHREIBUNG
	O
aber	O
furchtbar	O
nett	O
.	O
Findest	O
Du	O
nicht	O
?	O
Und	O
Morgensonne	O
	O
sagt	O
der	O
Wirt	O
	O
haben	O
wir	O
auch	O
.	O
Na	O
	O
in	O
den	O
acht	O
Tagen	O
	O
daß	O
wir	O
hier	ORT
sind	O
	O
hat	O
noch	O
keine	O
geschienen	O
;	O
und	O
Elimar	O
ist	O
zweifelhaft	O
	O
ob	O
sie	O
	O
wenn	O
sie	O
mal	O
scheint	O
	O
bis	O
zu	RELATION
uns	RAUMHINWEIS
kommt	RELATIONALES VERB
--	O
im	O
Hochsommer	O
	O
meint	O
er	O
	O
wäre	O
es	O
möglich	O
.	O
Abwarten	O
	O
sage	O
ich	O
.	O
Na	O
	O
wie	O
findest	O
Du	O
es	O
?	O
Das	O
Kleid	O
	O
meine	O
ich	O
.	O
Dein	O
Brautkleid	O
!	O
Also	O
doch	O
!	O
Also	O
was	O
?	O
Ich	O
dachte	O
	O
Du	O
würdest	O
es	O
nicht	O
wiedererkennen	RELATIONALES VERB
.	O
Ich	O
habe	O
es	O
nämlich	O
während	O
der	O
zwei	O
Jahre	O
schon	O
sechsmal	O
angehabt	RELATIONALES VERB
--	O
zuletzt	O
auf	RELATION
dem	O
Kommandanturball	RAUMHINWEIS
--	O
und	O
jedesmal	O
ein	O
bißchen	O
verändert	O
.	O
Das	O
heißt	O
:	O
diesmal	O
nicht	O
--	O
ich	O
hatte	O
keine	O
Zeit	O
.	O
Meinst	O
Du	O
	O
daß	O
es	O
noch	O
geht	O
?	O
Die	O
Damen	O
standen	RELATIONALES VERB
vor	RELATION
dem	O
Bett	RAUMHINWEIS
	O
über	RELATION
welches	RAUMHINWEIS
das	O
Kleid	RAUMHINWEIS
gebreitet	RELATIONALES VERB
war	O
.	O
Das	O
heißt	O
:	O
es	O
muß	O
gehen	O
	O
fuhr	O
Adele	O
eifrig	O
fort	O
	O
während	O
Klotilde	O
hier	ORT
und	O
da	ORT
einen	O
Zipfel	RAUMHINWEIS
musternd	O
aufhob	RELATIONALES VERB
;	O
ich	O
habe	O
kein	O
anderes	O
.	O
Dann	O
ist	O
die	O
Sache	O
ja	O
erledigt	O
	O
sagte	O
Klotilde	O
lächelnd	O
.	O
Ganz	O
meine	O
Ansicht	O
!	O
rief	RELATIONALES VERB
Adele	O
.	O
Mein	O
Gott	O
	O
von	O
einer	O
armen	O
Hauptmannsfrau	O
kann	O
man	O
doch	O
nicht	O
verlangen	O
	O
daß	O
sie	O
wie	O
eine	O
Prinzessin	O
ausstaffiert	RELATIONALES VERB
ist	O
	O
besonders	O
wenn	O
man	O
eben	O
einen	O
kostspieligen	O
Umzug	RAUMTHEMA
durchgemacht	O
hat	O
.	O
Ich	O
deutete	O
so	O
etwas	O
gegen	RELATION
Frau	O
Sudenburg	O
an	O
	O
und	O
weißt	O
Du	O
	O
was	O
sie	O
erwiderte	O
:	O
Die	O
Tochter	O
meiner	O
besten	O
Freundin	O
ist	O
mir	O
in	RELATION
jedem	O
Kleide	RAUMHINWEIS
willkommen	O
.	O
War	O
das	O
nicht	O
furchtbar	O
nett	O
von	O
ihr	O
.	O
Was	O
wirst	O
Du	O
denn	O
anziehen	RELATIONALES VERB
?	O
Meine	O
Auswahl	O
ist	O
nicht	O
viel	O
größer	RAUMBESCHREIBUNG
	O
als	O
Deine	O
:	O
arme	O
Hauptmanns	O
-	O
und	O
arme	O
Assessorenfrauen	O
--	O
c'est	O
toute	O
la	O
même	O
chose	O
